xh,gl,ml,kl,mc,ywm,sbtz,xx,fb,bwdj,sy,tp
108,鸟纲,雀形目,鹟科,棕腹大仙鹟,Fujian Niltava,雄鸟上体深蓝色，脸颊和颏、喉黑色，下体橙色。头顶的灰蓝色仅位于前额到头顶，不延伸至头后，肩羽的灰蓝色较暗或不明显，胸部橙色到腹部逐渐变淡，两翼更染褐色。雌鸟体羽灰褐色，眼先、腰、尾上覆羽和两翼灰色，颈侧具灰蓝色斑，颏、喉皮黄色，喉与胸之间具白色颈环，下体灰色。虹膜黑褐色，喙黑色，脚黑色。,栖息于中高海拔山地的阔叶林和针阔混交林中，也见于林缘和灌丛中，非繁殖季下至低海拔或迁徙至低纬度地区，也见于村落、公园和荒地。常单独或成对活动，以动物性食物为食。,长阳、宜昌城区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/4b44d374-0033-4edf-9d22-767f67bcb448.jpeg
109,鸟纲,雀形目,鹟科,金胸歌鸲,Firethroat,雄鸟头顶至整个上体深石青色，尾羽两侧基部白色，整个脸颊黑色且延伸至胸和上腹两侧，后颊和颈侧具白色块斑，颏、喉、胸和上腹火红色，下腹及尾下覆羽皮黄色。雌鸟上体橄榄褐色，前额染棕色，下体浅棕色，腹部中央白色，尾羽褐色而两侧基部棕色，尾下覆羽皮黄色。虹膜黑色，喙黑色，脚角质褐色。,常单独或成对活动于中高海拔山地的竹林、杜鹃丛、矮树和灌丛中，取食于地面，繁殖季鸣声高亢悦耳。,夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属近危。,图虫创意,https://data.yichang.gov.cn/karma/pic/dccfe2c8-a6b3-4bc3-b4c2-ad88bfc70a16.jpeg
110,鸟纲,雀形目,鹟科,红喉歌鸲,Siberian Rubythroat,雄鸟整体棕褐色，具白色的眉纹和下颊纹，颏、喉鲜红色且具黑色边缘，胸部具灰褐色条带，下体灰白色而两胁染褐色。雌鸟似雄鸟，但颜色较暗淡，喉部红色浅或不明显，胸部灰色较淡。似黑胸歌鸲，但脸颊和胸带褐色而非黑色。虹膜黑褐色，喙角质黄色或黑褐色，脚黄褐色。,多单独或成对栖息于近溪流的疏林、灌丛和芦苇中。性怯人而机警，活动甚为隐蔽。地栖性，觅食于植被中下层，因雄鸟极善鸣唱而遭受极大的捕捉压力。,夷陵区、枝江、五峰、长阳、宜都。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/e1627f22-1ea3-4c15-a2a4-63c6d1c6c1f3.jpeg
111,鸟纲,雀形目,鹟科,蓝喉歌鸲,Bluethroat,雄鸟头至上体和腰橄榄褐色，眉纹和下颊纹白色，尾羽黑褐色而两侧基部橙色，喉部至上胸具多变的蓝色、橙色、白色及黑色环状羽，下胸至尾下覆羽灰白色，两胁染棕色。雌鸟喉和胸缺少蓝色和橙色，具黑色髭纹和颈侧鳞状黑纹，喉至胸为灰白色。虹膜黑褐色，喙褐色，脚粉褐色至角质褐色。,栖息于溪流或其他水域附近的阴湿疏林、林缘、沼泽及荒漠绿洲中，迁徙季节见于阴湿的林下或茂密的苇丛和荒草下层，地栖性，在植被稀少的地区也常下至地面活动，因鸣声委婉悦耳常被作为笼养鸟而遭大肆捕捉。,夷陵区、宜昌城区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/2aaac88a-ab90-491e-b47e-6c9c87e66485.jpeg
112,鸟纲,雀形目,燕雀科,红交嘴雀,Red Crossbill,"上下喙端均具钩，并从侧面交叉，以此区别于除白翅
交嘴雀外的所有雀类。繁殖期雄鸟染红色，程度随亚种或分布地而有异，从橘黄色、玫红色至猩红色不等。雌鸟通体暗橄榄绿色或染棕灰色。幼鸟似雌鸟而具纵纹。红交嘴雀与白翅交嘴雀的区别在于无明显百色翼斑，三级飞羽无白色羽端。虹膜深褐色，喙近黑色，脚近黑色。",常见于分布在中海拔的松林中，冬季游荡且部分个体结群迁徙。飞行迅速而有起伏，倒悬进食，用喙撬取松子。,夷陵区、兴山。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/4a55c731-8146-4ab4-ba4a-de05dbe609ef.jpeg
113,鸟纲,雀形目,鹀科,蓝鹀,Slaty Bunting,体型较小、体格敦实，雄鸟全身体羽大致蓝灰色，仅三级飞羽近黑色，而腹部、臀及尾外缘为醒目的白色。雌鸟头和胸部暖棕褐色而无任何斑纹，上体褐色有纵纹且具两道锈色翼斑，腰灰色，腹部、臀及尾外缘为醒目白色。虹膜深褐色，喙黑色，脚偏粉色。,繁殖季节分布于高海拔林地，冬季见于较低海拔的次生林和灌丛中。,夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/7a6cefb8-6d25-49f5-8c62-947488bed66f.jpeg
114,鸟纲,雀形目,鹀科,黄胸鹀,Yellow-breasted Bunting,色彩鲜艳，繁殖期雄鸟顶冠和颈背栗色，脸和喉黑色。黄色的领环与黄色的胸腹部间隔有栗色胸带，具特征性白色肩纹或斑块及狭窄的白色翼斑。非繁殖期雄鸟色淡，颏及喉黄色，仅耳羽黑色而具杂斑。雌鸟和亚成鸟顶纹浅沙色，两侧有深色的侧冠纹，几乎无下颊纹，眉纹浅皮黄色。虹膜深栗褐色；上喙灰色，下喙粉褐色；脚淡褐色。,迁徙和越冬期间栖息于大面积的稻田、芦苇地、高草丛及湿润的荆棘丛中，结成大群并常与其他种类混群。因作为“禾花雀”出售而被大量捕杀，野外种群数量下降显著。,夷陵区、宜都。,国家一级重点保护野生动物，CITES未记录，IUCN等级属极危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/5da043e4-75d4-45a0-894d-76268fb714e6.jpeg
115,爬行纲,龟鳖目,地龟科,乌龟,Reeves'Turtle,背甲较平扁，具3条纵棱，四肢略扁平，指、趾间均具蹼，具爪，尾较短小。背甲棕褐色，腹甲及甲桥棕黄色，每一盾片均有黑褐色大斑。头部橄榄色或黑褐色。头侧及咽部有喑色镶边的黄纹及黄斑，并向后延伸至颈部。雄性个体几乎整体呈黑色，有异臭。雌龟背甲棕褐色。,主要栖息于江河、湖泊、水库、池塘及其他水域。以动物性的昆虫、蠕虫、小鱼、虾、螺、蚌，以及植物性的嫩叶、浮萍、瓜皮、麦粒、稻谷、杂草种子为食。,枝江、当阳。,"国家二级重点保护野生动物(仅限野外种群),CITES附录Ⅲ,IUCN等级属濒危。",李风,https://data.yichang.gov.cn/karma/pic/17979467-a17c-432c-9807-70fd13c65112.jpeg
116,爬行纲,龟鳖目,地龟科,黄喉拟水龟,Mauremys mutica,个体中等，呈扁椭圆形。头较小，头背光滑无鳞，黄色或黄橄榄色，头腹面及喉部为黄色，故名。背甲平扁，具3条纵棱，脊棱明显，两侧较弱。颈盾小，呈梯形。椎盾5枚，第一、第五椎盾五边形，前宽后窄，其余各盾片呈六边形，宽大于长。肋盾4对，除最后一对外，其余均比相邻椎盾为宽。缘盾11对，臀盾1对，略呈方形。,白天多在水中戏游、觅食，晴天喜在陆地上活动，有时爬到岸边晒太阳。杂食性，取食范围广，食物包括禽畜肉和内脏，以及植物类的瓜果蔬菜，喜在水中觅食。,当阳。,"国家二级重点保护野生动物(仅限野外种群),CITES附录Ⅱ,IUCN等级属濒危。",李风,https://data.yichang.gov.cn/karma/pic/c5f93ba7-d2ba-4184-aeb1-8cf907989432.jpeg
117,爬行纲,龟鳖目,地龟科,黄缘闭壳龟,Yellow-margined Box Turtle,头部光滑无鳞，鼓膜圆而清晰，头部背面浅橄榄色，吻前端平，上喙有明显的勾曲，下颌橘红色。两眼后各有一条金黄色宽条纹，两纹在头部背面交汇成“U”形弧纹，纹后的颈部呈浅橘红色。,栖息于丘陵山区的林缘、杂草、灌木之中，喜群居，白天多隐匿于安静、阴暗潮湿的树根下及石头缝中。在野外以昆虫、蠕虫、软体动物为食。,远安、当阳。,"国家二级重点保护野生动物(仅限野外种群),CITES附录Ⅱ,IUCN等级属濒危。",李风,https://data.yichang.gov.cn/karma/pic/e751611a-742e-46ae-ae45-386ea5eb1547.jpeg
118,爬行纲,有鳞目,蛇蜥科,脆蛇蜥,Hart's glass lizard,头顶被对称大鳞。额鳞最大，近盾形，前尖后宽。额鳞前与1对近菱形的前额鳞相切。鼻鳞1枚，外鼻孔开口于鼻鳞中后部。颊鳞11—12枚，大小不一，形状各异，且排列不整齐。上睫鳞5枚，眼周和眼睑上被大小不一的光滑鳞片。,栖居于海拔300—800m的山林、草丛、菜园、茶园的土中或大石下。多捕食蚯蚓、蜗牛、小蠕虫和各种小昆虫。,历史文献记载，无观测记录。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/f8b0bc0a-c520-4edb-aeaf-63b2dcb57129.jpeg
119,两栖纲,有尾目,小鲵科,中国小鲵,Chinese Hgnobiids,体长16—20cm。头腹面光滑，后至颈褶有一条纵肤沟。体尾背面几乎为一致的黑色或褐黑色，少数个体有1或2个黄色斑点。腹面浅褐色，有大理石黑褐色斑。头长大于头宽，吻端圆。眼小，有眼脸，鼻间距大于或等于眼间距。前、后肢贴体相对时，指、趾端相遇，无掌，跖突，颈褶不明显。,主要栖息于海拔1500—3900m的高山水溪、竹丛间。繁殖季节进入静水中，平时多隐藏于潮湿的疏松泥土、腐叶层或石块下方。以蚯蚓、昆虫或其他节肢动物及其幼虫为食。,长阳。,国家一级重点保护野生动物，CITES未记录，IUCN等级属濒危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/22d7c98f-f3a7-4c32-819a-e2fd55ccb222.jpeg
120,两栖纲,有尾目,小鲵科,黄斑拟小鲵,Yellow-spotted Salamander,"雄鲵全长158—189mm,雌鲵138—180mm。头部扁平，卵圆形。躯干近圆柱状而背腹略扁。尾部肌节间有浅沟。整个背面紫褐色，有不规则的土黄色或黄色斑，斑块的大小、多少和形状变异较大。一般头部的斑块较小，背部的较大，尾后段较少或无斑状。腹面色较浅。",栖息于海拔1100—1845m的较高山区，主要捕食毛翅目等水生昆虫幼虫。,历史文献记载，无观测记录。,国家二级重点保护野生动物，CITES未记录，IUCN等级属易危。,李风,https://data.yichang.gov.cn/karma/pic/24fdecc2-5570-460b-b9e4-4ae3b59a93bd.jpeg
121,两栖纲,有尾目,小鲵科,巫山巴鲵,Ranodon shihi,唇褶明显。犁骨齿两短列，相距远，呈短弧形，位于内鼻孔前方，内端起于犁腭骨中部。鼻骨呈方形或略呈三角形。前颌囟较大。掌、跖部有角质鞘。体侧肋沟多为11条。,"该鲵生活于海拔900—2350m的山区。成体多栖于小山溪中，一般流溪水面宽1—2m,水深10—25cm,其两岸植被丰富。主要以毛翅目等水生昆虫及其幼虫和虾类、藻类为食。",夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属未记录。,陈哲宇,https://data.yichang.gov.cn/karma/pic/f18d8491-e3d1-4a47-b92b-6c4296a13056.jpeg
122,两栖纲,有尾目,隐鳃鲵科,中国大鲵,Chinese Giant Salamander,"体大而扁平，一般全长582—834mm,头体长310—585mm,最大个体全长可达200cm以上。头大扁平而宽阔，头长略大于头宽。雄鲵肛部隆起，椭圆形，肛孔较大，内壁有乳白色小颗粒；雌鲵肛部无隆起，泄殖肛孔较小，周围向内凹入，孔内壁平滑，无乳白色小颗粒。",成鲵常栖息在海拔1000m以下的溪河、深潭内的岩洞、石穴之中，以滩口上下的洞穴内较为常见。食性很广，主要以蟹、蛙、鱼、虾，以及水生昆虫及其幼虫等为食。,兴山、夷陵区、长阳、五峰。,"国家二级重点保护野生动物(仅限野外种群),CITES附录I,IUCN等级属极危。",李风,https://data.yichang.gov.cn/karma/pic/1b58cb1d-4807-4369-a158-78477b03530e.jpeg
123,两栖纲,有尾目,蝾螈科,细痣疣螈,Black Knobby Newt,"雄螈全长11—13cm,雌螈全长14—20cm。头宽略大于头长，两侧脊棱显著向内弯曲，吻端平且近方形，无唇褶，颈褶明显。体尾背面黑褐色，仅指、趾、肛部和尾部下缘为橘红色。体腹面黑灰色。皮肤粗糙，满布瘰粒和疣粒，体两侧各有圆形瘰粒13—16枚，排成纵行。",生活在海拔1400m左右生有茂密阔叶林或竹林的山区，也栖息在山间凹地静水塘或阴湿环境中，繁殖期后营陆栖生活。白天常隐蔽在植物根部、土洞或石穴中，夜间外出觅食。主要以昆虫、蚯蚓及其他小动物为食。,长阳。,国家二级重点保护野生动物，CITES未记录，IUCN等级属近危。,图虫创意,https://data.yichang.gov.cn/karma/pic/e6643f9f-6745-4cb6-a8e5-f40fec2b8e19.jpeg
124,两栖纲,无尾目,叉舌蛙科,虎纹蛙,Tiger Frog,"雄蛙体长约8cm,雌蛙约10cm。体背面粗糙，背部有长短不一、多断续排列成纵行的肤棱，其间散有小疣粒，胫部纵行肤棱明显。头侧、足背面和体腹面光滑。背面多为黄绿色或灰棕色，散有不规则的深绿褐色斑纹。四肢横纹明显，体和四肢腹面肉色，咽、胸部有棕色斑。胸后和腹部略带浅蓝色，有斑或无斑。",一般栖息于丘陵地带的稻田、鱼塘、水坑和沟渠内。白天隐匿于水域岸边的洞穴内，夜间外出活动，跳跃能力很强，稍有响动即迅速跳入深水中。捕食各种昆虫，也捕食蝌蚪、小型蛙类及小鱼等。,夷陵区。,"国家二级重点保护野生动物(仅限野分种群),CITES未记录，IUCN等级属濒危。",图虫创意,https://data.yichang.gov.cn/karma/pic/15bb8540-62c9-4f62-a51b-763f6d8cdb10.jpeg
125,硬骨鱼纲,鲟形目,鲟科,中华鲟,Chinese Sturgeon,头大且呈三角形，吻部扁平，口在头腹面，横裂状。体背和两侧排列着5行菱形的骨板，皮肤光滑，尾鳍歪形，背鳍与臀鳍相对。腹鳍位于背鳍前方，鳍及尾鳍的基部具棘状鳞。体色在侧骨板以上为青灰色、灰褐色或灰黄色，侧骨板以下由浅灰色逐步过渡到黄白色，腹部为乳白色。,栖息地一般选择沙质底层。以动物性食物为主的杂食性鱼类，主要以一些小型的或行动迟缓的底栖动物为食，包括虾、蟹、鱼、软体动物和水生昆虫等。,长江宜昌江段。,"国家一级重点保护野生动物，CITES附录Ⅱ,IUCN等级属极危。",李风,https://data.yichang.gov.cn/karma/pic/7ed8dc22-5c16-4dd3-8601-6e598316227f.jpeg
126,硬骨鱼纲,鲟形目,鲟科,长江鲟,Dabry's Sturgeon,体呈梭形，头呈楔形，背面粗糙。吻较短，吻腹面具须2对。眼小，鼻孔、鳃孔均大，左右鳃孔分离。体被5行骨板状硬鳞，鳞间表皮粗糙。尾歪形。鳃耙呈三角形薄片状，体背及侧面青灰色，腹面灰白色，鳍青灰色，边缘白色。,常在江河中下层活动，喜栖息于流速较缓、富腐殖质和底栖生物的沙质底层中。主要以底栖无脊椎动物为食，也食水生植物、藻类和腐殖质等。,长江宜昌江段。,"国家一级重点保护野生动物，CITES附录Ⅱ,IUCN等级属极危。",绘：刘思雨,https://data.yichang.gov.cn/karma/pic/3951020f-a471-4f9c-bce1-a6909fd276fd.jpeg
127,硬骨鱼纲,鲟形目,匙吻鲟科,白鲟,Chinese Paddlefish,大型凶猛性鱼类，体呈梭形，上下颌均具尖细的齿。吻长剑状，吻部由前到后逐渐变宽，前端钝尖，狭而平扁。基部肥厚，体无骨板状大硬鳞，仅在尾鳍上缘有一列棘状鳞。背部浅紫灰色，腹部及各鳍略呈白粉色。,常在江水的中下层活动。幼鱼常到支流甚至长江口觅食。成鱼和幼鱼均以鱼类为主食，亦食少量的虾、蟹等动物。,长江宜昌江段。,"国家一级重点保护野生动物，CITES附录Ⅱ,IUCN等级属极危。",李风,https://data.yichang.gov.cn/karma/pic/2c08fa27-1dfd-43ef-8aac-4de96c8bd19d.jpeg
128,硬骨鱼纲,鲤形目,亚口鱼科,胭脂鱼,Chinese Sucker,头短，体侧扁，吻圆钝。背基极长，鳍条50根以上，从基部延长至臀鳍基部后上方，臀鳍条10—12根，尾柄短。尾鳍成叉形，下叶长于上叶。背鳍无硬刺。臀鳍短，尾柄细长。,生活在湖泊、河流中。幼鱼喜集群于水流较缓的砾石间，多活动于水体上层；亚成体则在中下层；成体喜在江河的敞水区，行动迅速敏捷。以水草为食。,长江宜昌段。,"国家二级重点保护野生动物(仅限野外种群),CITES附录I,IUCN等级属极危。",绘：刘思雨,https://data.yichang.gov.cn/karma/pic/db234a3a-66ce-41a7-920c-dffd12aa58bc.jpeg
129,硬骨鱼纲,鲤形目,鲤科,圆口铜鱼,largemouth bronze gudgeon,"常见个体0.5—1kg,最大个体可达4kg。体前部圆筒形，后部侧扁，头后背部显著隆起。吻圆钝，口宽，下位，呈弧形。颌须1对，长而粗壮，末端可达胸鳍基部。背鳍无硬刺，胸鳍长而发达，未端超过腹鳍起点。",底层鱼类。喜集群，栖息于水流湍急的江河中。夏秋季通常活动在长江中上游干流和支流中，冬季入干流深处岩沱中越冬。产卵期从4月下旬至7月上旬，产漂浮性卵。杂食性鱼类，摄食软体动物、水生昆虫及植物碎片等。,长江宜昌段。,"国家二级重点保护野生动物(仅限野外种群),CITES未记录，IUCN等级属极危。",绘：刘思雨,https://data.yichang.gov.cn/karma/pic/310a4016-30d1-4e4e-9a39-651e9c77bb2b.jpeg
130,硬骨鱼纲,鲤形目,鲤科,鯮,longspiky-head carp,体细长，略呈圆筒形，最重达50kg以上，为大型凶猛鱼类。背缘平直，腹部圆。头长而尖，前部略呈管状，后部侧扁。吻长，似鸭嘴。上颌骨伸达眼前缘的下方或稍后。眼较小，眼后有透明的脂肪体。鳞小而薄。侧线略呈弧形，向后延伸至尾鳍基。腹膜灰黑色。体背深灰，体侧及腹面银白，背鳍灰黄，其他鳍及尾鳍下叶红色。,生活在江河或湖泊等水体的开阔水面。30cm以下个体一般活动于水体中上层，较大个体多栖息在中下层，具有江湖半洄游习性。性凶猛，幼鱼期至湖泊中肥育；仔幼鱼阶段食枝角类和鱼苗；成鱼转为食鱼类，常以其管筒状的长吻在石缝或水草丛中觅食小型鱼类。,长江宜昌段。,国家二级重点保护野生动物，CITES未记录，IUCN等级属极危。,绘：刘思雨,https://data.yichang.gov.cn/karma/pic/afbccb6a-bbec-42dd-b1cb-245646bacee8.jpeg
131,硬骨鱼纲,鲤形目,鲤科,岩原鲤,Rock carp,常见个体1kg左右。体侧扁，呈菱形，背部隆起成弧形，腹部圆。头小，呈圆锥形，吻较尖，吻长小于眼后头长。唇厚，须2对，眼大。侧线平直，背、臀鳍刺均特别强壮，后缘有锯齿。背鳍外缘平直，基底长，背、腹鳍起点相对。头部及体背部深黑色或黑紫色，略带蓝紫色光泽，腹部银白色。每一鳞片的后部有一黑斑。,大多栖息在江河水流较缓、底质多岩石的水体底层，经常出没于岩石之间，冬季在河床的岩穴或深沱中越冬，立春后开始溯水上游到各支流产卵。主要食物为底栖生物、水蚯蚓、摇蚊幼虫、蜉蝣目和毛翅目幼虫、小螺、小鱼虾、淡水壳菜等软体动物，还有寡毛类动物、浮游动物、腐烂的高等植物碎片等。,长江宜昌段。,"国家二级重点保护野生动物(仅限野外种群),CITES未记录，IUCN等级属易危。",绘：刘思雨,https://data.yichang.gov.cn/karma/pic/f46d9398-def3-4da3-93f0-ff8e2d799168.jpeg
132,硬骨鱼纲,鲤形目,鲤科,长鳍吻鮈,Rhinogobio ventralis Sauvage et Dabry,体长且高，稍侧扁，头后背部至背鳍起点渐隆起，腹部圆，尾柄宽而侧扁。头较短，钝锥形。吻略短，圆钝，稍向前突出。口小，下位，呈深弧形。唇较厚，光滑，上唇有深沟与吻皮分离，下唇狭窄，自口角向前伸，不达口前缘。下额厚，肉质。唇后沟中断，间距宽。须1对，位于口角，长度略大于眼径。眼小，侧上位，距吻端较至鳃盖后缘的距离为大或相等。体鳞较小，腹部鳞片较体侧鳞小，腹鳍前鳞片向前逐渐细小。侧线完全、平直。,春夏季活动范围广泛，常在急流险滩、峡谷深沱、支流出口觅食活动。秋冬季节因水温降低，逐渐游向峡谷深沱越冬。长鳍吻鮈的主要食物是淡水壳菜、河蚬，蜻蜓目、鞘翅目幼虫及其他水生昆虫。,长江宜昌段。,国家二级重点保护野生动物，CITES未记录，IUCN等级属濒危。,绘：刘思雨,https://data.yichang.gov.cn/karma/pic/8e786c43-8e9a-49f0-b507-049db4bc2d60.jpeg
133,硬骨鱼纲,鲤形目,鳅科,红唇薄鳅,Leptobotia rubrilabris,体长，较高，侧扁。头长，呈锥形。吻较长，前端尖，眼后头短。口小，下位，口裂呈马蹄形。唇厚，有许多皱褶。具须3对，吻须2对，聚生在吻端；口角须1对，稍粗长，后伸达眼前缘下方。鳞片细小，侧线完全、平直，位于体侧中部。身体基色为棕黄色带褐色，腹部黄白色。背部有6—8个不规则的棕黑色横斑，头背面具许多不规则棕褐色斑点或连成条纹。背鳍上有2条棕黑色条纹。胸鳍外缘具1条浅棕黑色条纹。腹鳍上有1—2条浅棕黑色条纹。臀鳍上有1条棕黑色带纹。尾鳍上有3-5条不规则的斜行棕黑色短条纹。,栖息在江河底层。个体较大，仅次于长薄鳅。种群数量较小，许多水系和江段都难捕到。,长江宜昌段。,"国家二级重点保护野生动物(仅限野外种群),CITES未记录，IUCN等级属易危。",绘：刘思雨,https://data.yichang.gov.cn/karma/pic/b3ac3e98-5701-4919-bf5a-c7f1972e5a47.jpeg
134,硬骨鱼纲,鲤形目,鳅科,长薄鳅,Elongateloach,体长，侧扁，尾柄高而粗壮。头侧扁而尖，头长大于体高。吻圆钝而短，口较大。须3对，眼很小，眼下缘有1根光滑的硬刺。鳞极细小，侧线完全。头部背面具有不规则的深褐色花纹，头部侧面及鳃盖部位为黄褐色，身体浅灰褐色。较小个体有6—7条很宽的深褐色横纹，大个体则呈不规则的斑纹。腹部为淡黄褐色。,底栖凶猛肉食性鱼类，主要以小鱼、水生昆虫、虾、大型浮游动物等为食。,长江宜昌段。,"国家二级重点保护野生动物(仅限野外种群),CITES未记录，IUCN等级属易危。",绘：刘思雨,https://data.yichang.gov.cn/karma/pic/46cda37a-7e68-4c23-aef6-1118cd17822c.jpeg
135,双壳纲,蚌目,蚌科,背瘤丽蚌,Lamprotula leai,贝壳甚厚，壳质坚硬，外形呈长椭圆形。前端圆窄，后端扁而长，腹缘呈弧状，背缘近直线状，后背缘弯曲，稍突出成角形。壳顶略高于背缘之上，位于背缘最前端。壳面布满瘤状结节，一般标本结节联成条状，并与后背部的粗肋相接呈“人”字形。,喜生活于水深、水流较急的河流及与其相通的湖泊内，底质较硬，多为有卵石的沙底或泥沙底，有的个体生活在岩石缝中。它们的饵料为矽藻、原生动物、单鞭毛藻类及有机物碎屑。,长江宜昌段。,国家二级重点保护野生动物，CITES未记录，IUCN等级属未记录。,李风,https://data.yichang.gov.cn/karma/pic/540d37c5-2371-4cba-9396-5abc5275b002.jpeg
